transaction_id,amount,time_gap_minutes
txn_zkbrh7la,376.65,41.8
txn_fds0dji9,166.1,30.54
txn_dgbk2l0d,399.93,41.48
txn_gmpw5d3g,294.47,57.93
txn_jn42x2ez,23849.34,0.28
txn_ov2ygnmb,363.8,12.19
txn_7eobjlzy,66.98,36.72
txn_u9ymszdx,182.0,26.17
txn_4u9bxf44,349.06,9.12
txn_ri8bixoi,277.61,52.11
txn_qerxdoua,17084.07,0.78
txn_kshy8nbi,167.26,35.81
txn_wrxze1hm,314.83,33.71
txn_zbffzzdv,235.27,56.16
txn_oq2zdo74,262.14,41.22
txn_8ertb74r,163.3,55.66
txn_gu0env5s,426.55,46.93
txn_j88qeoz0,227.13,43.58
txn_4z7whwkm,365.14,57.71
txn_sylemruy,236.44,46.13
txn_4k43safy,250.06,20.76
txn_j4yk1b3d,202.61,45.67
txn_50ui22kx,97.52,58.67
txn_ltajw253,380.14,43.75
txn_x1tv18kg,269.07,33.26
txn_npuevjlz,295.61,13.45
txn_lb7wxrum,226.68,15.11
txn_csotdhhl,301.34,17.01
txn_1t939ayq,165.79,57.74
txn_yl68ntk6,176.98,25.62
txn_2qb6gs8g,240.57,8.6
txn_y15pdtz9,247.71,40.56
txn_70fqldb2,198.76,19.23
txn_nwpaytxw,223.91,37.21
txn_zc7d2kd1,157.01,31.07
txn_teo2t8fy,322.03,48.73
txn_0n8tteav,314.45,46.16
txn_6moxsfh4,227.7,14.97
txn_24479qtk,6964.05,0.9
txn_rlexdw6l,199.12,37.13
txn_unlpaih0,204.38,51.21
txn_e05qmktg,336.3,12.7
txn_tj5ccasb,117.33,27.28
txn_v6tt9q1n,268.04,21.0
txn_qsosx43w,121.21,33.28
txn_qg8x80rm,221.26,25.32
txn_bh6nqqb9,252.24,43.71
txn_s34jtgxn,299.35,25.7
txn_6sm5rrvs,167.11,14.11
txn_cxhgnzei,232.96,31.33
txn_hf4abufw,16445.39,0.16
txn_jg8vuazx,159.9,9.72
txn_q95g3v23,216.28,44.83
txn_mqvindh4,197.13,28.09
txn_fdrwb2se,324.32,50.51
txn_61xsnbti,329.47,48.43
txn_nv01zder,291.32,53.22
txn_ogz2ueax,199.44,22.37
txn_nfxj4pnj,252.58,48.11
txn_rntjlmz0,167.43,41.26
txn_0qzfhomt,237.3,58.05
txn_adf7pchc,12686.52,1.18
txn_wszv83xp,204.37,41.13
txn_2kbvsigb,296.83,59.82
txn_2movs0cd,250.08,50.64
txn_6m8jvh7u,218.32,8.98
txn_k82853uy,270.91,35.97
txn_118qqvae,17673.24,1.19
txn_yil8sa3i,18473.96,1.0
txn_c7rm6j8y,196.61,45.45
txn_5hhiwfd7,250.34,41.49
txn_w1tbrwr9,313.1,59.14
txn_6khub2rt,181.75,26.65
txn_yg9zqyah,199.7,19.28
txn_tiqwnrhz,348.05,51.99
txn_kgeuidji,217.08,57.75
txn_f3gr94sz,280.57,21.5
txn_uuoyc3rw,211.6,35.82
txn_7jae58hu,315.25,14.6
txn_2myr06nk,279.73,49.42
txn_mwu4cfil,288.26,19.71
txn_xjq5nv8o,377.69,41.41
txn_7zcgdc5t,12940.25,0.94
txn_cjfx5lik,268.67,12.22
txn_4bx4lr9t,51.17,43.37
txn_gvwwusxl,321.8,34.68
txn_2pnjka34,239.85,55.71
txn_8rapkian,251.99,35.83
txn_of0onjpi,372.61,42.66
txn_k03o4gkw,172.14,19.97
txn_wgabtgdj,241.65,13.29
txn_rml29q2l,192.36,57.34
txn_c1cqg433,256.89,47.42
txn_p0bq1s9r,189.86,22.17
txn_lwb7sjwh,286.72,11.21
txn_wlgje2ab,207.63,31.14
txn_vndfdw79,357.05,43.57
txn_2ei9212p,292.21,42.91
txn_me6rpkzg,175.2,20.14
txn_36tcfkjn,17760.52,0.52
txn_ga41izxt,356.2,33.82
txn_rtwlxdsc,361.53,16.11
txn_rdu4xszj,368.43,38.33
txn_c7hr6c2c,326.8,25.3
txn_z3jbck88,19503.44,0.68
txn_gsiwg0od,218.61,24.69
txn_qx5ggomf,180.16,22.33
txn_9ln1p0vu,276.13,47.11
txn_7j8qo09v,317.76,21.52
txn_h4a3yjtu,247.19,13.51
txn_bmenui3d,363.29,44.8
txn_2g3yu6vk,185.74,36.7
txn_cc1m3o55,187.69,5.63
txn_1nkbtfsh,19631.57,0.53
txn_qvshkoec,161.01,7.71
txn_ods1eeur,286.77,45.46
txn_ic1l7dyp,354.4,22.64
txn_vak9w9pf,21363.44,0.32
txn_n14eb875,372.62,11.12
txn_qahthsjr,260.61,12.77
txn_zauxbgk2,360.24,5.46
txn_nj4x5a5x,288.2,25.94
txn_9dl5tgsq,309.77,34.12
txn_mofmmwi9,258.12,49.65
txn_w563btkf,231.07,26.02
txn_8wwiif86,221.4,34.82
txn_het25lzs,468.14,12.98
txn_77lu8el5,244.09,47.1
txn_5oop767j,290.05,46.93
txn_wjuiiymy,281.79,32.63
txn_vzn4regb,313.17,27.72
txn_091c795r,255.98,30.16
txn_iob0nlw0,88.66,48.28
txn_sq3b9so0,224.21,33.39
txn_wbkok3qp,340.9,12.82
txn_3q0e27ze,282.43,29.8
txn_gvzhqjy6,241.89,11.28
txn_qnsn2s8n,209.72,47.25
txn_6uxf5gzp,260.16,39.45
txn_eehwjq4t,22654.06,0.36
txn_vrocvitw,163.62,50.39
txn_bfxb4y4k,329.19,14.8
txn_yvyv2gqu,275.2,10.12
txn_knncptke,235.04,33.86
txn_zwd0w9ry,346.75,59.25
txn_kvls9meu,187.01,14.89
txn_vz9aawe4,181.34,59.94
txn_omuwahk2,179.28,5.34
txn_ym0wbglm,247.03,55.39
txn_2xrw6tm2,242.93,21.46
txn_0lthy25m,98.27,20.43
txn_b9w4uov5,230.72,6.74
txn_oriq8hke,183.21,47.78
txn_6parsg70,257.11,52.95
txn_37ye0qzs,23646.75,0.86
txn_vdqbsxlu,206.08,54.07
txn_lgjlpefj,17458.9,0.67
txn_hmlfzkic,204.16,12.15
txn_qydbpgvv,323.51,43.47
txn_wl3zyt91,349.05,55.58
txn_qqyzqii4,357.89,55.21
txn_ozx25qbr,202.48,47.24
txn_ved32lx2,261.81,27.04
txn_owt9nm3v,120.69,34.95
txn_ixc7urvq,305.62,50.21
txn_g8cd31nr,374.23,53.8
txn_6wafftou,329.42,42.48
txn_lu6k7p9m,5162.39,1.19
txn_oekntbz3,353.14,17.94
txn_zolnntxr,127.29,26.15
txn_74f9yeca,164.58,59.46
txn_dxoq2vpg,257.15,35.36
txn_qmgvu4is,176.69,58.8
txn_uzeryf09,228.12,47.84
txn_qc6dr08c,270.61,7.9
txn_m2qsq0p8,183.88,20.91
txn_b700ucrg,24807.3,0.99
txn_wkcs4kek,288.75,14.6
txn_vfq3jzr2,253.47,23.86
txn_df7fr91i,214.26,45.39
txn_mx1egok0,208.12,34.29
txn_nzrf5a7q,367.76,7.26
txn_7w8p74mj,18086.87,0.53
txn_100vhmyg,221.15,42.0
txn_3addqhkg,6838.83,1.13
txn_x48wze4e,333.59,58.19
txn_6zjq7w7j,189.18,54.69
txn_1lfc1nlc,242.07,32.04
txn_7vgrf1hx,335.86,44.35
txn_dcujq6fx,217.81,43.5
txn_6us7rp42,195.87,34.71
txn_a83ru7my,113.79,9.99
txn_t8cq1xgb,100.74,15.51
txn_z6wmdw0f,229.73,31.91
txn_ctlt4q9b,20755.57,0.15
txn_e3yqy5fu,144.67,7.03
txn_fxq7bzeg,11146.75,0.97
txn_qgv3dr2h,119.28,59.02
txn_yl9ue421,315.36,23.45
txn_efoztp7b,21947.33,0.77
txn_1aragdx5,298.59,43.08
txn_hxso7vbg,121.18,57.27
txn_w2maietd,256.96,17.06
txn_1xjg2y8r,150.58,41.86
txn_bxkpm21b,294.32,48.2
txn_re6zvlhy,227.37,47.84
txn_ld05nhqr,362.5,30.02
txn_nezw9hey,7730.03,1.04
txn_qgm5v2ww,394.92,58.36
txn_4d4r9v4k,244.78,23.0
txn_u6vfua9b,190.02,47.27
txn_btr23qiu,19635.73,1.14
txn_ekxdrkz4,337.09,47.45
txn_5o2nqw4c,263.46,23.31
txn_bpj8t22c,247.6,56.99
txn_y5dnwngu,19186.74,0.33
txn_9ier7u8h,223.25,17.4
txn_mjyjcmrs,219.91,34.31
txn_kw2837c6,133.33,9.41
txn_6k8djzr5,203.56,58.33
txn_tempxkc5,202.21,57.11
txn_xomxlvz4,235.81,48.41
txn_gjr81bmq,290.13,55.83
txn_zk94yxfi,11332.52,0.24
txn_jgublmnt,192.7,27.25
txn_rfqla09l,420.63,31.07
txn_k79ufu6p,230.23,12.67
txn_tlo4qdbx,79.4,17.22
txn_7katqyds,204.96,56.89
txn_6mf4nnkm,349.32,53.09
txn_d0p92k38,284.9,37.29
txn_dhr59c81,13189.21,1.11
txn_ouz1egnt,21524.97,1.02
txn_kuqaaj84,223.43,40.96
txn_6pryiej9,19911.31,0.74
txn_u5wryesu,264.46,22.58
txn_5efjp6mk,273.72,56.5
txn_s1gd1t53,211.62,42.86
txn_du3asnrm,365.46,10.63
txn_fhg6w3st,251.56,30.33
txn_c37rln36,210.68,47.0
txn_mzb3i4fi,272.13,42.99
txn_2c11bd2s,7378.44,0.38
txn_cy127h6g,273.63,9.99
txn_478mfs0i,335.38,5.77
txn_hgk6t9dh,311.3,43.93
txn_nvp8gmnh,425.44,11.8
txn_de1zuble,400.5,38.02
txn_l9ptk4gc,130.78,14.86
txn_9rdpxdfo,268.36,10.59
txn_79c9mv9e,239.97,44.24
txn_uj2xorvo,186.14,20.34
txn_1djrwedb,18562.15,1.17
txn_nyfwdc11,285.05,31.96
txn_jm4t8bp6,362.51,22.3
txn_nqbu4kzr,230.23,11.02
txn_yxyur4so,159.64,58.4
txn_wm9lbb4m,416.15,23.77
txn_dmmmxixv,278.35,8.6
txn_kmalq5u6,214.52,59.22
txn_nou3dyms,149.55,23.67
txn_wnpr424t,505.42,27.11
txn_i0d4dmc2,328.63,16.54
txn_2xk2ptho,119.99,14.93
txn_az5uh80q,289.35,34.3
txn_w1puwsnf,223.27,28.95
txn_l3cho3xj,187.9,27.32
txn_egi3qupx,8187.17,0.25
txn_j2xg48ra,343.79,52.69
txn_6onxd70f,304.62,45.4
txn_7s387j5i,274.93,37.14
txn_o0ipfg8p,182.99,37.42
txn_rn8lpy85,167.3,50.18
txn_a8v4x7y2,346.22,35.4
txn_l8n3e54n,77.1,19.05
txn_d3ih66w5,387.67,27.35
txn_b537qo4z,313.74,43.42
txn_smv30qab,115.08,39.66
txn_2eowlcfs,315.88,51.58
txn_y2lr0jy3,131.27,15.93
txn_og585i87,128.02,58.58
txn_hzgopjdn,125.5,11.45
txn_zp7qyezg,263.22,32.18
txn_e4v9kypo,185.41,20.96
txn_jw6nyqae,207.28,44.23
txn_z0jdcli6,135.82,56.66
txn_8v0bjwko,350.39,36.93
txn_js75eltf,229.58,7.43
txn_e5407k5w,244.01,54.1
txn_l91f4x2b,319.06,17.64
txn_bjzp97bm,157.16,51.52
txn_5ed5ggsj,258.66,37.21
txn_v8suoc1y,369.38,42.44
txn_ov84fc3x,269.65,57.54
txn_va8x8l00,199.99,7.68
txn_xlbc8nog,226.79,52.6
txn_d4f2k1xe,117.93,22.06
txn_yex3sr5r,309.77,28.27
txn_13wppbmq,231.89,32.24
txn_wskp6rfe,207.24,51.28
txn_skbcbdpd,194.42,19.02
txn_csexggoc,224.49,21.37
txn_vqywj85g,247.97,52.94
txn_dtaegry5,141.12,38.1
txn_rw9myyok,288.83,5.87
txn_84hxxpw2,253.39,21.55
txn_qraffz8q,203.87,36.32
txn_4bawz940,222.63,35.49
txn_krrvwy3r,167.56,22.37
txn_c6prr7mz,10760.22,0.31
txn_mih6mv4x,235.18,21.14
txn_z83y0224,223.05,41.69
txn_ehvdo9kh,5362.61,1.07
txn_mf36bcpw,380.31,17.33
txn_jmmb5jfy,189.31,55.96
txn_pq4ddv28,140.44,7.31
txn_dw56fkps,343.71,23.4
txn_e4po1i3m,317.45,9.69
txn_n1mxf1pi,179.76,30.23
txn_42nbfa37,11296.09,1.18
txn_fc1xx6cw,292.49,41.32
txn_skoytk06,10595.61,0.68
txn_7zqht2xz,266.05,15.85
txn_kbm00e9k,16035.72,0.67
txn_1fb2vi10,170.14,11.07
txn_cnwmbxek,31.53,49.3
txn_9u6wtvmk,316.24,44.32
txn_yzsilu3n,19232.81,1.01
txn_cc5rqnsv,200.59,32.44
txn_pp7r93fe,288.43,12.12
txn_z5ehr07n,184.15,11.65
txn_ubfn9kr2,201.14,37.43
txn_b66h3rem,159.31,36.12
txn_62rzv1sq,301.67,29.7
txn_5l2xoiot,350.61,40.53
txn_5zu2zueu,166.81,39.03
txn_ubugr6e7,389.64,18.49
txn_z5p3vob5,13740.35,0.56
txn_4ljedgfj,11135.88,0.55
txn_gwlacolo,266.73,25.65
txn_3eh1vr1n,333.04,27.39
txn_roi5j8yi,283.26,48.19
txn_kodwh8n9,168.33,55.13
txn_qaq3k8a7,230.37,37.88
txn_4nmwvsb0,224.9,11.76
txn_fukpv8ly,326.21,19.37
txn_1qi9mqva,246.9,31.21
txn_6yo6z1t2,245.92,9.26
txn_b3yym33m,263.93,5.46
txn_q7qhak7m,17268.85,0.43
txn_zirnk6zh,127.16,50.16
txn_o5urtxuy,288.43,8.58
txn_juis2gy9,266.73,34.31
txn_juq7x7b7,314.0,42.41
txn_qn15ikpq,8892.16,0.19
txn_ua09pcif,248.03,39.43
txn_dr3vwmjd,235.54,23.35
txn_271w1wud,5666.87,0.44
txn_4ce7pkwc,272.53,35.76
txn_knd1ivxa,296.12,39.06
txn_m72qlgdv,20788.33,0.31
txn_uwjp0qi2,11233.34,0.58
txn_81l51flm,91.87,5.44
txn_vycs44ph,367.77,23.79
txn_yz9vlu8w,173.7,13.93
txn_q2bhaiiw,230.9,23.23
txn_0hg9ncbe,53.38,15.69
txn_v1bbhg5z,202.74,6.18
txn_46ayn2d7,233.15,18.21
txn_3x79955c,376.54,15.54
txn_nnv9ibwg,184.68,48.43
txn_lb25485h,14413.35,0.83
txn_cs1xsrql,206.66,32.21
txn_jo7vbhh5,130.76,21.83
txn_5u7ntedq,172.66,39.16
txn_pqo2lngi,204.94,24.75
txn_c4sx27dc,9006.13,0.32
txn_lk3yjz99,238.72,5.47
txn_k32oouxq,73.82,46.86
txn_foi0rs21,112.4,22.22
txn_g1zhqunu,284.04,56.88
txn_a34mpyo2,242.02,48.19
txn_7f8lwvv5,265.4,16.23
txn_otgduq6d,230.7,42.9
txn_rgc8kixc,15370.63,0.29
txn_4ofdtrc8,243.34,12.15
txn_hpzrv7vs,248.44,12.85
txn_co3s65qu,259.65,20.84
txn_5qzzkw3g,355.2,30.18
txn_6guo8i5j,173.53,21.05
txn_6z0hr9t9,7104.49,0.94
txn_lqjsqcz0,246.0,26.82
txn_ae7l0rct,92.62,57.25
txn_f34gadkt,370.04,42.26
txn_fmhbyhz4,313.64,40.26
txn_z6olba11,208.33,10.03
txn_p9mgyh52,291.86,14.23
txn_godlught,290.25,24.61
txn_goloqc3x,288.19,8.7
txn_hkv9dt94,354.71,58.98
txn_zy9ylw5l,222.44,31.52
txn_mvvnxiv9,123.07,21.99
txn_01wcnkfh,23468.18,0.76
txn_80lkx1s9,136.17,20.87
txn_a4lit6xi,229.15,25.98
txn_lpa5cgwf,142.51,10.05
txn_v37ic0lz,277.0,20.69
txn_qwj2c9og,304.18,32.79
txn_0132an41,211.93,44.97
txn_jqqnvceq,224.06,15.43
txn_as0r778n,182.6,27.48
txn_b7nugpj6,167.43,33.03
txn_ryzx70ib,168.26,43.36
txn_xjqyjv84,20419.44,0.81
txn_7ov6sgp3,161.9,21.62
txn_8xnlo50d,262.27,12.85
txn_07ol93ac,177.52,33.87
txn_x0gnzhg8,270.17,8.24
txn_g1j6oww5,202.87,21.12
txn_njmvrydc,355.62,59.32
txn_dsav917r,254.8,28.62
txn_n6937xnc,232.24,30.13
txn_z05ev5kz,282.18,25.26
txn_wxrog983,12204.11,0.15
txn_3lpvowcp,463.62,52.14
txn_60khfsu4,150.86,12.03
txn_2kyt5gqe,253.15,46.43
txn_xdpzf761,305.08,19.17
txn_r6eet0dy,374.08,38.04
txn_xnz0nxu4,193.3,17.3
